crypto_name,crypto_symbol,date,open_value,high_value,low_value,close_value,volume_value
Bitcoin,BTC,2021-12-10,47535.9,48788.29,47439.29,48608.19,1447.77421
Bitcoin,BTC,2021-12-09,50471.19,50797.76,47320.0,47545.59,37692.68665
Bitcoin,BTC,2021-12-08,50588.95,51200.0,48600.0,50471.19,38425.92466
Bitcoin,BTC,2021-12-07,50441.91,51936.33,50039.74,50588.95,38253.46877
Bitcoin,BTC,2021-12-06,49396.32,50891.11,47100.0,50441.92,58571.21575
Bitcoin,BTC,2021-12-05,49152.46,49699.05,47727.21,49396.33,45580.82012
Bitcoin,BTC,2021-12-04,53601.05,53859.1,42000.3,49152.47,114203.373748
Bitcoin,BTC,2021-12-03,56484.26,57600.0,51680.0,53601.05,58927.69027
Bitcoin,BTC,2021-12-02,57184.07,57375.47,55777.77,56480.34,37574.05976
Bitcoin,BTC,2021-12-01,56950.56,59053.55,56458.01,57184.07,44956.63656
Bitcoin,BTC,2021-11-30,57776.25,59176.99,55875.55,56950.56,49161.05194
Bitcoin,BTC,2021-11-29,57274.89,58865.97,56666.67,57776.25,40125.28009
Bitcoin,BTC,2021-11-28,54716.47,57445.05,53256.64,57274.88,36163.7137
Bitcoin,BTC,2021-11-27,53723.72,55280.0,53610.0,54721.03,29716.99957
Bitcoin,BTC,2021-11-26,58960.37,59150.0,53500.0,53726.53,65927.87066
Bitcoin,BTC,2021-11-25,57138.29,59398.9,57000.0,58960.36,42153.51522
Bitcoin,BTC,2021-11-24,57541.26,57735.0,55837.0,57138.29,39612.04964
Bitcoin,BTC,2021-11-23,56243.83,58009.99,55317.0,57541.27,49917.85017
Bitcoin,BTC,2021-11-22,58617.7,59444.0,55610.0,56247.18,51724.32047
Bitcoin,BTC,2021-11-21,59707.52,60029.76,58486.65,58622.02,31902.22785
Bitcoin,BTC,2021-11-20,58057.1,59845.0,57353.0,59707.51,33811.5901
Bitcoin,BTC,2021-11-19,56891.62,58320.0,55600.0,58052.24,50715.88726
Bitcoin,BTC,2021-11-18,60344.86,60976.0,56474.26,56891.62,62146.99931
Bitcoin,BTC,2021-11-17,60058.87,60840.23,58373.0,60344.87,46289.38491
Bitcoin,BTC,2021-11-16,63606.73,63617.31,58574.07,60058.87,77455.15609
Bitcoin,BTC,2021-11-15,65519.11,66401.82,63400.0,63606.74,37829.37124
Bitcoin,BTC,2021-11-14,64380.01,65550.51,63576.27,65519.1,25705.07347
Bitcoin,BTC,2021-11-13,64122.22,65000.0,63360.22,64380.0,22504.97383
Bitcoin,BTC,2021-11-12,64774.25,65450.7,62278.0,64122.23,44490.10816
Bitcoin,BTC,2021-11-11,64882.42,65600.07,64100.0,64774.26,37237.98058
Bitcoin,BTC,2021-11-10,66947.67,69000.0,62822.9,64882.43,65171.504046
Bitcoin,BTC,2021-11-09,67525.82,68524.25,66222.4,66947.66,44661.378068
Bitcoin,BTC,2021-11-08,63273.58,67789.0,63273.58,67525.83,54442.094554
Bitcoin,BTC,2021-11-07,61470.62,63286.35,61322.78,63273.59,25515.6883
Bitcoin,BTC,2021-11-06,60940.18,61560.49,60050.0,61470.61,25590.57408
Bitcoin,BTC,2021-11-05,61395.01,62595.72,60721.0,60937.12,31604.48749
Bitcoin,BTC,2021-11-04,62896.49,63086.31,60677.01,61395.01,35930.93314
Bitcoin,BTC,2021-11-03,63220.57,63500.0,60382.76,62896.48,43336.09049
Bitcoin,BTC,2021-11-02,60911.12,64270.0,60624.68,63219.99,46368.2841
Bitcoin,BTC,2021-11-01,61299.81,62437.74,59405.0,60911.11,44687.66672
Bitcoin,BTC,2021-10-31,61859.19,62405.3,59945.36,61299.8,39267.63794
Bitcoin,BTC,2021-10-30,62253.7,62359.25,60673.0,61859.19,31478.12566
Bitcoin,BTC,2021-10-29,60575.9,62980.0,60174.81,62253.71,43973.90414
Bitcoin,BTC,2021-10-28,58413.44,62499.0,57820.0,60575.89,61056.35301
Bitcoin,BTC,2021-10-27,60328.81,61496.0,58000.0,58413.44,62124.49016
Bitcoin,BTC,2021-10-26,63078.78,63293.48,59817.55,60328.81,40217.50083
Bitcoin,BTC,2021-10-25,60852.22,63710.63,60650.0,63078.78,36853.83806
Bitcoin,BTC,2021-10-24,61286.75,61500.0,59510.63,60852.22,31226.57676
Bitcoin,BTC,2021-10-23,60688.23,61747.64,59562.15,61286.75,27626.93678
Bitcoin,BTC,2021-10-22,62193.15,63732.39,60000.0,60688.22,52119.35886
Bitcoin,BTC,2021-10-21,66001.4,66639.74,62000.0,62193.15,68538.64537
Bitcoin,BTC,2021-10-20,64280.59,67000.0,63481.4,66001.41,51428.934856
Bitcoin,BTC,2021-10-19,62005.6,64486.0,61322.22,64280.59,53628.107744
Bitcoin,BTC,2021-10-18,61528.32,62695.78,59844.45,62009.84,51798.44844
Bitcoin,BTC,2021-10-17,60875.57,61718.39,58963.0,61528.33,39099.24124
Bitcoin,BTC,2021-10-16,61672.42,62378.42,60150.0,60875.57,35467.88096
Bitcoin,BTC,2021-10-15,57347.94,62933.0,56850.0,61672.42,82512.908022
Bitcoin,BTC,2021-10-14,57370.83,58532.54,56818.05,57347.94,43053.336781
Bitcoin,BTC,2021-10-13,55996.91,57777.0,54167.19,57367.0,55808.44492
Bitcoin,BTC,2021-10-12,57471.35,57680.0,53879.0,55996.93,53471.2855
Bitcoin,BTC,2021-10-11,54659.01,57839.04,54415.06,57471.35,52933.165751
Bitcoin,BTC,2021-10-10,54949.72,56561.31,54080.0,54659.0,89237.836128
Bitcoin,BTC,2021-10-09,53955.67,55489.0,53661.67,54949.72,55177.08013
Bitcoin,BTC,2021-10-08,53785.22,56100.0,53617.61,53951.43,46160.25785
Bitcoin,BTC,2021-10-07,55315.0,55332.31,53357.0,53785.22,54917.37766
Bitcoin,BTC,2021-10-06,51471.99,55750.0,50382.41,55315.0,79877.545181
Bitcoin,BTC,2021-10-05,49224.93,51886.3,49022.4,51471.99,52125.66793
Bitcoin,BTC,2021-10-04,48200.01,49536.12,46891.0,49224.94,46796.49372
Bitcoin,BTC,2021-10-03,47634.89,49228.08,47088.0,48200.01,30825.05601
Bitcoin,BTC,2021-10-02,48141.6,48336.59,47430.18,47634.9,30508.98131
Bitcoin,BTC,2021-10-01,43820.01,48495.0,43283.03,48141.61,66244.87492
Bitcoin,BTC,2021-09-30,41524.29,44141.37,41410.17,43824.1,46381.22781
Bitcoin,BTC,2021-09-29,41025.01,42590.0,40753.88,41524.28,33511.53487
Bitcoin,BTC,2021-09-28,42147.35,42787.38,40888.0,41026.54,43372.2624
Bitcoin,BTC,2021-09-27,43160.9,44350.0,42098.0,42147.35,39776.84383
Bitcoin,BTC,2021-09-26,42670.63,43950.0,40750.0,43160.9,49879.99765
Bitcoin,BTC,2021-09-25,42810.58,42966.84,41646.28,42670.64,33594.57189
Bitcoin,BTC,2021-09-24,44865.26,45200.0,40675.0,42810.57,84113.426292
Bitcoin,BTC,2021-09-23,43546.37,44978.0,43069.09,44865.26,48699.57655
Bitcoin,BTC,2021-09-22,40734.09,44000.55,40565.39,43543.61,58349.05542
Bitcoin,BTC,2021-09-21,43016.64,43639.0,39600.0,40734.38,84534.080485
Bitcoin,BTC,2021-09-20,47241.75,47347.25,42500.0,43015.62,78003.524443
Bitcoin,BTC,2021-09-19,48292.75,48372.83,46829.18,47241.75,29847.24349
Bitcoin,BTC,2021-09-18,47299.98,48843.2,47035.56,48292.74,30906.47038
Bitcoin,BTC,2021-09-17,47737.81,48150.0,46699.56,47299.98,34461.92776
Bitcoin,BTC,2021-09-16,48121.4,48557.0,47021.1,47737.82,40725.08895
Bitcoin,BTC,2021-09-15,47103.28,48500.0,46682.32,48121.41,43204.71174
Bitcoin,BTC,2021-09-14,44940.72,47250.0,44594.44,47111.52,44855.85099
Bitcoin,BTC,2021-09-13,46025.23,46880.0,43370.0,44940.73,65429.15056
Bitcoin,BTC,2021-09-12,45173.68,46460.0,44742.06,46025.24,32094.28052
Bitcoin,BTC,2021-09-11,44842.2,45987.93,44722.22,45173.69,30440.4081
Bitcoin,BTC,2021-09-10,46395.14,47033.0,44132.29,44850.91,49048.26618
Bitcoin,BTC,2021-09-09,46048.31,47399.97,45513.08,46395.14,50651.66002
Bitcoin,BTC,2021-09-08,46868.57,47340.99,44412.02,46048.31,65069.3152
Bitcoin,BTC,2021-09-07,52666.2,52920.0,42843.05,46863.73,123048.802719
Bitcoin,BTC,2021-09-06,51756.88,52780.0,50969.33,52663.9,49249.667081
Bitcoin,BTC,2021-09-05,49917.54,51900.0,49450.0,51756.88,40544.835873
Bitcoin,BTC,2021-09-04,49998.0,50535.69,49370.0,49915.64,34664.65959
Bitcoin,BTC,2021-09-03,49246.63,51000.0,48316.84,49999.14,59025.644157
Bitcoin,BTC,2021-09-02,48810.51,50450.13,48584.06,49246.64,54410.770538
Bitcoin,BTC,2021-09-01,47100.89,49156.0,46512.0,48810.52,49904.65528
Bitcoin,BTC,2021-08-31,46982.91,48246.11,46700.0,47100.89,48645.52737
Bitcoin,BTC,2021-08-30,48767.84,48888.61,46853.0,46982.91,40288.35083
Bitcoin,BTC,2021-08-29,48895.35,49632.27,47762.54,48767.83,32652.283473
Bitcoin,BTC,2021-08-28,49069.9,49299.0,48346.88,48895.35,26681.063786
Bitcoin,BTC,2021-08-27,46843.86,49149.93,46348.0,49069.9,42068.104965
Bitcoin,BTC,2021-08-26,48973.32,49352.84,46250.0,46843.87,49371.277774
Bitcoin,BTC,2021-08-25,47674.01,49264.3,47126.28,48973.32,44655.830342
Bitcoin,BTC,2021-08-24,49488.85,49860.0,47600.0,47674.01,51014.594748
Bitcoin,BTC,2021-08-23,49239.22,50500.0,49029.0,49488.85,52462.541954
Bitcoin,BTC,2021-08-22,48821.88,49500.0,48050.0,49239.22,37007.887795
Bitcoin,BTC,2021-08-21,49322.47,49757.04,48222.0,48821.87,46745.136584
Bitcoin,BTC,2021-08-20,46760.62,49382.99,46622.99,49322.47,56850.352228
Bitcoin,BTC,2021-08-19,44699.37,47033.0,43927.7,46760.62,53411.75392
Bitcoin,BTC,2021-08-18,44695.95,46000.0,44203.28,44705.29,54099.415985
Bitcoin,BTC,2021-08-17,45901.3,47160.0,44376.0,44695.95,57039.341629
Bitcoin,BTC,2021-08-16,46973.82,48053.83,45660.0,45901.29,52480.574014
Bitcoin,BTC,2021-08-15,47068.5,47372.27,45500.0,46973.82,42110.711334
Bitcoin,BTC,2021-08-14,47799.99,48144.0,45971.03,47068.51,46114.359022
Bitcoin,BTC,2021-08-13,44400.06,47886.0,44217.39,47800.0,48239.370431
Bitcoin,BTC,2021-08-12,45510.67,46218.12,43770.0,44399.0,55266.108781
Bitcoin,BTC,2021-08-11,45585.0,46743.47,45341.14,45511.0,52734.901977
Bitcoin,BTC,2021-08-10,46248.87,46700.0,44589.46,45584.99,53814.643421
Bitcoin,BTC,2021-08-09,43794.36,46454.15,42779.0,46253.4,74587.884845
Bitcoin,BTC,2021-08-08,44572.54,45310.0,43261.0,43794.37,69329.092698
Bitcoin,BTC,2021-08-07,42836.87,44700.0,42446.41,44572.54,73396.740808
Bitcoin,BTC,2021-08-06,40862.46,43392.43,39853.86,42836.87,75753.941347
Bitcoin,BTC,2021-08-05,39723.17,41350.0,37332.7,40862.46,84343.755621
Bitcoin,BTC,2021-08-04,38207.04,39969.66,37508.56,39723.18,52329.35243
Bitcoin,BTC,2021-08-03,39146.86,39780.0,37642.03,38207.05,57117.435853
Bitcoin,BTC,2021-08-02,39850.27,40480.01,38690.0,39147.82,50837.351954
Bitcoin,BTC,2021-08-01,41461.84,42599.0,39422.01,39845.44,53953.186326
Bitcoin,BTC,2021-07-31,42206.36,42448.0,41000.15,41461.83,44849.791012
Bitcoin,BTC,2021-07-30,40018.49,42316.71,38313.23,42206.37,73602.784805
Bitcoin,BTC,2021-07-29,40019.57,40640.0,39200.0,40016.48,53998.439283
Bitcoin,BTC,2021-07-28,39456.61,40900.0,38772.0,40019.56,101344.528441
Bitcoin,BTC,2021-07-27,37241.33,39542.61,36383.0,39457.87,88397.267015
Bitcoin,BTC,2021-07-26,35381.02,40550.0,35205.78,37237.6,152452.512724
Bitcoin,BTC,2021-07-25,34261.51,35398.0,33851.12,35381.02,47852.928313
Bitcoin,BTC,2021-07-24,33634.1,34500.0,33401.14,34258.14,47977.550138
Bitcoin,BTC,2021-07-23,32287.58,33650.0,31924.32,33634.09,50112.863626
Bitcoin,BTC,2021-07-22,32144.51,32591.35,31708.0,32287.83,46148.092433
Bitcoin,BTC,2021-07-21,29790.34,32858.0,29482.61,32144.51,82796.265128
