currency_name,currency_symbol,date,open_value,high_value,low_value,close_value
EURO-DOLLAR,EUR,2021-12-10,1.1292,1.13241,1.1263,1.1316
EURO-DOLLAR,EUR,2021-12-09,1.13412,1.1346,1.1277,1.12923
EURO-DOLLAR,EUR,2021-12-08,1.12672,1.13548,1.1263,1.1341
EURO-DOLLAR,EUR,2021-12-07,1.12832,1.12985,1.1225,1.12672
EURO-DOLLAR,EUR,2021-12-06,1.1302,1.13151,1.1264,1.1285
EURO-DOLLAR,EUR,2021-12-03,1.12998,1.13335,1.1265,1.13131
EURO-DOLLAR,EUR,2021-12-02,1.13187,1.13477,1.1294,1.13005
EURO-DOLLAR,EUR,2021-12-01,1.1335,1.13598,1.1301,1.1319
EURO-DOLLAR,EUR,2021-11-30,1.12902,1.1383,1.1234,1.13368
EURO-DOLLAR,EUR,2021-11-29,1.13018,1.13156,1.1257,1.12906
EURO-DOLLAR,EUR,2021-11-26,1.12056,1.13308,1.12039,1.13155
EURO-DOLLAR,EUR,2021-11-25,1.11972,1.123,1.11951,1.12065
EURO-DOLLAR,EUR,2021-11-24,1.12477,1.12553,1.1185,1.11977
EURO-DOLLAR,EUR,2021-11-23,1.12346,1.12751,1.1225,1.12477
EURO-DOLLAR,EUR,2021-11-22,1.12901,1.1293,1.1229,1.1234
EURO-DOLLAR,EUR,2021-11-19,1.1372,1.1373,1.1248,1.12794
EURO-DOLLAR,EUR,2021-11-18,1.13192,1.13741,1.1312,1.1371
EURO-DOLLAR,EUR,2021-11-17,1.13196,1.13323,1.1262,1.1318
EURO-DOLLAR,EUR,2021-11-16,1.13674,1.1386,1.1307,1.13199
EURO-DOLLAR,EUR,2021-11-15,1.14452,1.1464,1.1355,1.13672
EURO-DOLLAR,EUR,2021-11-12,1.14495,1.14622,1.1431,1.14447
EURO-DOLLAR,EUR,2021-11-11,1.1478,1.14877,1.1441,1.14499
EURO-DOLLAR,EUR,2021-11-10,1.15921,1.15953,1.1474,1.14781
EURO-DOLLAR,EUR,2021-11-09,1.1584,1.16089,1.1568,1.15924
EURO-DOLLAR,EUR,2021-11-08,1.15573,1.1595,1.1549,1.15863
EURO-DOLLAR,EUR,2021-11-05,1.15539,1.15732,1.1512,1.1566
EURO-DOLLAR,EUR,2021-11-04,1.16122,1.16164,1.1526,1.15526
EURO-DOLLAR,EUR,2021-11-03,1.15781,1.16164,1.156,1.1613
EURO-DOLLAR,EUR,2021-11-02,1.16032,1.16134,1.1573,1.15783
EURO-DOLLAR,EUR,2021-11-01,1.15631,1.16092,1.1544,1.1604
EURO-DOLLAR,EUR,2021-10-29,1.16808,1.16902,1.1533,1.1561
EURO-DOLLAR,EUR,2021-10-28,1.16008,1.16922,1.158,1.1681
EURO-DOLLAR,EUR,2021-10-27,1.15923,1.16262,1.1583,1.16017
EURO-DOLLAR,EUR,2021-10-26,1.16105,1.16258,1.1583,1.1592
EURO-DOLLAR,EUR,2021-10-25,1.16368,1.16652,1.1589,1.16099
EURO-DOLLAR,EUR,2021-10-22,1.16256,1.16558,1.1619,1.1647
EURO-DOLLAR,EUR,2021-10-21,1.16484,1.16674,1.1618,1.1625
EURO-DOLLAR,EUR,2021-10-20,1.16296,1.16586,1.1615,1.1648
EURO-DOLLAR,EUR,2021-10-19,1.16092,1.16694,1.1607,1.16286
EURO-DOLLAR,EUR,2021-10-18,1.15987,1.16224,1.157,1.16089
EURO-DOLLAR,EUR,2021-10-15,1.15973,1.1619,1.1586,1.16
EURO-DOLLAR,EUR,2021-10-14,1.15974,1.16245,1.1582,1.1598
EURO-DOLLAR,EUR,2021-10-13,1.15302,1.15985,1.1527,1.15974
EURO-DOLLAR,EUR,2021-10-12,1.15539,1.15703,1.1523,1.153
EURO-DOLLAR,EUR,2021-10-11,1.15693,1.15868,1.1547,1.1554
EURO-DOLLAR,EUR,2021-10-08,1.15547,1.15861,1.1539,1.1567
EURO-DOLLAR,EUR,2021-10-07,1.15533,1.15721,1.1546,1.15544
EURO-DOLLAR,EUR,2021-10-06,1.15948,1.16006,1.1527,1.1554
EURO-DOLLAR,EUR,2021-10-05,1.1617,1.1622,1.1579,1.1596
EURO-DOLLAR,EUR,2021-10-04,1.15937,1.16402,1.1586,1.1618
EURO-DOLLAR,EUR,2021-10-01,1.15802,1.16074,1.1561,1.1594
EURO-DOLLAR,EUR,2021-09-30,1.15966,1.16098,1.1561,1.158
EURO-DOLLAR,EUR,2021-09-29,1.16827,1.16902,1.1587,1.1596
EURO-DOLLAR,EUR,2021-09-28,1.16954,1.17033,1.1666,1.16812
EURO-DOLLAR,EUR,2021-09-27,1.17165,1.17252,1.1683,1.16961
EURO-DOLLAR,EUR,2021-09-24,1.17384,1.17476,1.1699,1.1718
EURO-DOLLAR,EUR,2021-09-23,1.1693,1.17502,1.1682,1.1738
EURO-DOLLAR,EUR,2021-09-22,1.17249,1.17557,1.1683,1.1693
EURO-DOLLAR,EUR,2021-09-21,1.17248,1.17487,1.1713,1.17255
EURO-DOLLAR,EUR,2021-09-20,1.17255,1.17365,1.1698,1.17273
