stock_name,stock_symbol,date,open_value,high_value,low_value,close_value,volume_value
Dow Jones Index,DIA,2021-12-09,356.75,359.18,356.35,358.11,3774467
Dow Jones Index,DIA,2021-12-08,358.17,358.87,356.42,357.99,3355590
Dow Jones Index,DIA,2021-12-07,355.93,358.61,355.79,357.74,5271465
Dow Jones Index,DIA,2021-12-06,349.26,354.02,348.8262,352.82,7026475
Dow Jones Index,DIA,2021-12-03,347.86,348.5,343.08,346.24,11365325
Dow Jones Index,DIA,2021-12-02,341.81,347.95,341.17,346.61,8326411
Dow Jones Index,DIA,2021-12-01,348.04,350.3775,340.32,340.46,8476602
Dow Jones Index,DIA,2021-11-30,348.7,350.01,344.36,344.9,9543521
Dow Jones Index,DIA,2021-11-29,352.59,352.77,348.923,351.19,5242959
Dow Jones Index,DIA,2021-11-26,350.33,351.46,347.36,349.02,9074951
Dow Jones Index,DIA,2021-11-24,356.06,358.2,355.8,358.03,4246714
Dow Jones Index,DIA,2021-11-23,356.28,358.37,355.34,358.02,5792629
Dow Jones Index,DIA,2021-11-22,357.48,359.24,356.09,356.2,4935826
Dow Jones Index,DIA,2021-11-19,357.89,357.89,355.38,355.91,3544043
Dow Jones Index,DIA,2021-11-18,360.03,360.05,357.13,359.35,3443247
Dow Jones Index,DIA,2021-11-17,361.44,361.58,359.54,359.85,2975958
Dow Jones Index,DIA,2021-11-16,361.82,363.54,361.7,361.93,2728633
Dow Jones Index,DIA,2021-11-15,362.6,362.73,360.67,361.24,2554951
Dow Jones Index,DIA,2021-11-12,360.69,361.74,359.58,361.28,3092128
Dow Jones Index,DIA,2021-11-11,361.19,361.26,359.38,359.46,2461200
Dow Jones Index,DIA,2021-11-10,362.52,363.73,360.2801,361.07,3529017
Dow Jones Index,DIA,2021-11-09,364.19,364.3,361.82,363.28,3657055
Dow Jones Index,DIA,2021-11-08,365.06,365.64,363.33,364.32,3055958
Dow Jones Index,DIA,2021-11-05,362.96,364.94,361.89,363.3,4489006
Dow Jones Index,DIA,2021-11-04,361.34,361.65,359.87,361.35,3870860
